borrower_id,sector,lender_type,age,monthly_income_kes,employment_tenure_months,digital_loans_last_90d,utility_payment_score,mobile_money_consistency,existing_loans,loan_amount_kes,dti_ratio,effective_apr,prior_default,default
B100017,Trade,Digital Lender,53,58775.0,18,1,0.821,0.906,2,414774.0,0.353,52.0,0,0
B100018,Personal/Household,SACCO,35,85598.0,14,2,0.842,0.82,0,183510.0,0.107,11.2,0,0
B100019,Transport,Bank,34,39608.0,9,4,0.714,0.612,3,270031.0,0.341,13.5,0,1
B100020,Personal/Household,Bank,27,45894.0,12,0,0.794,0.777,1,83336.0,0.091,14.3,0,0
B100021,Agriculture,MFI,55,37792.0,15,3,0.923,0.86,0,316976.0,0.419,25.1,0,1
B100022,Services,Bank,33,40750.0,11,0,0.905,0.673,3,295706.0,0.363,14.8,0,0
B100023,Services,Bank,22,30546.0,20,1,0.601,0.666,0,250886.0,0.411,14.7,0,0
B100024,Personal/Household,SACCO,60,41788.0,2,3,0.705,0.825,2,313799.0,0.375,13.2,1,0
B100025,Trade,SACCO,39,96471.0,0,3,0.722,0.694,2,531920.0,0.276,12.4,0,0
B100026,Real Estate,Digital Lender,43,33533.0,15,0,0.86,0.413,1,299626.0,0.447,191.5,0,0
B100027,Trade,MFI,52,30128.0,56,1,0.847,0.728,1,49137.0,0.082,22.1,0,0
B100028,Trade,Bank,41,33155.0,31,0,0.787,0.726,0,275434.0,0.415,17.6,0,0
B100029,Personal/Household,MFI,45,27392.0,14,1,0.512,0.472,3,45253.0,0.083,23.0,0,1
B100030,Personal/Household,Bank,36,34048.0,17,1,0.78,0.273,4,152216.0,0.224,14.5,0,1
B100031,Services,SACCO,42,26886.0,3,3,0.526,0.686,1,82989.0,0.154,14.1,0,1
B100032,Agriculture,Digital Lender,35,55781.0,12,2,0.644,0.737,1,103202.0,0.093,15.5,1,0
B100033,Agriculture,Bank,35,52798.0,28,1,0.812,0.701,1,138885.0,0.132,16.0,0,0
B100034,Real Estate,Bank,36,97857.0,39,2,0.921,0.78,3,489111.0,0.25,14.4,0,0
B100035,Trade,Digital Lender,31,29350.0,96,2,0.774,0.534,2,129473.0,0.221,116.0,0,0
B100036,Trade,MFI,40,34848.0,10,2,0.852,0.627,0,63611.0,0.091,13.1,0,0
B100037,Real Estate,MFI,40,34059.0,8,1,0.746,0.879,1,255903.0,0.376,19.1,0,0
B100038,Agriculture,SACCO,43,33182.0,64,1,0.605,0.673,1,129491.0,0.195,17.0,0,0
B100039,Transport,MFI,41,55354.0,90,4,0.569,0.675,4,359037.0,0.324,26.6,0,0
B100040,Real Estate,Bank,55,12164.0,33,2,0.854,0.812,1,94478.0,0.388,15.3,1,0
B100041,Personal/Household,Digital Lender,46,38307.0,16,0,0.909,0.825,1,113317.0,0.148,13.9,0,0
B100042,Personal/Household,Digital Lender,33,89114.0,13,2,0.678,0.707,7,260128.0,0.146,124.8,0,0
B100043,Agriculture,Bank,40,62920.0,11,1,0.83,0.558,3,137219.0,0.109,17.6,0,0
B100044,Personal/Household,Bank,49,59084.0,28,1,0.463,0.383,2,470096.0,0.398,14.1,0,0
B100045,Personal/Household,SACCO,26,47246.0,6,5,0.688,0.733,2,242769.0,0.257,8.9,0,1
B100046,Real Estate,SACCO,55,21425.0,18,1,0.682,0.581,3,187464.0,0.437,19.1,0,0
B100047,Agriculture,Bank,27,19684.0,36,3,0.556,0.724,3,176590.0,0.449,15.6,0,0
B100048,Personal/Household,MFI,44,19769.0,14,0,0.768,0.783,2,110147.0,0.279,14.2,0,0
B100049,Trade,SACCO,35,15896.0,26,1,0.564,0.536,1,35058.0,0.11,11.5,0,0
B100050,Trade,MFI,34,50043.0,10,1,0.734,0.935,1,79737.0,0.08,15.7,0,0
B100051,Trade,Bank,22,66676.0,31,3,0.743,0.707,1,398635.0,0.299,16.4,0,0
B100052,Personal/Household,Bank,44,37757.0,138,3,0.615,0.916,1,313499.0,0.415,12.7,0,0
B100053,Transport,MFI,22,46288.0,26,3,0.829,0.742,0,131222.0,0.142,18.8,0,0
B100054,Personal/Household,Digital Lender,21,34941.0,1,5,0.515,0.71,2,54676.0,0.078,70.5,0,1
B100055,Personal/Household,MFI,47,40653.0,57,1,0.625,0.69,3,275916.0,0.339,19.7,0,0
B100056,Real Estate,Bank,53,9280.0,30,1,0.968,0.485,1,70884.0,0.382,12.7,0,0
B100057,Manufacturing,Digital Lender,28,35351.0,12,1,0.616,0.754,2,280158.0,0.396,143.9,0,0
B100058,Trade,Bank,45,23528.0,26,1,0.771,0.815,2,114836.0,0.244,16.6,0,0
B100059,Trade,MFI,43,29083.0,68,1,0.959,0.777,3,143045.0,0.246,14.5,0,0
B100060,Transport,Bank,34,33664.0,22,4,0.769,0.53,2,248847.0,0.37,9.0,0,1
B100061,Real Estate,SACCO,48,20059.0,44,1,0.805,0.799,0,102048.0,0.254,14.8,0,0
B100062,Manufacturing,SACCO,33,16455.0,16,2,0.872,0.835,2,31183.0,0.095,11.4,0,0
B100063,Personal/Household,Digital Lender,40,19727.0,2,1,0.916,0.699,1,86837.0,0.22,265.7,0,0
B100064,Transport,Bank,22,13405.0,0,1,0.778,0.642,1,42275.0,0.158,15.4,0,0
B100065,Manufacturing,MFI,23,15751.0,20,3,0.832,0.606,0,123345.0,0.392,20.0,0,0
B100066,Manufacturing,Bank,47,16986.0,19,2,0.471,0.823,3,142897.0,0.421,10.9,0,0
B100067,Agriculture,Digital Lender,41,13503.0,20,5,0.854,0.618,1,110766.0,0.41,77.8,0,0
B100068,Trade,Bank,34,39768.0,9,2,0.787,0.834,0,123713.0,0.156,12.7,1,1
B100069,Real Estate,SACCO,54,18119.0,18,1,0.563,0.621,3,139377.0,0.385,10.7,1,0
B100070,Trade,SACCO,54,10671.0,6,0,0.811,0.847,4,56869.0,0.266,11.3,1,1
B100071,Real Estate,Bank,39,23845.0,3,3,0.852,0.691,2,208347.0,0.437,16.6,1,0
B100072,Personal/Household,Bank,20,16119.0,97,0,0.547,0.672,3,130246.0,0.404,9.5,1,0
B100073,Agriculture,Bank,34,66336.0,23,1,0.465,0.546,2,129129.0,0.097,12.3,1,0
B100074,Trade,MFI,27,31988.0,6,1,0.563,0.553,0,241829.0,0.378,24.9,0,1
B100075,Agriculture,Digital Lender,36,13243.0,65,2,0.853,0.591,1,74182.0,0.28,37.8,0,0
B100076,Agriculture,MFI,26,40651.0,10,0,0.738,0.782,1,234800.0,0.289,27.8,1,0
B100077,Transport,Digital Lender,23,31155.0,11,3,0.518,0.837,5,107094.0,0.172,8.0,0,1
B100078,Manufacturing,Bank,18,26076.0,76,2,0.946,0.922,1,137032.0,0.263,13.6,0,0
B100079,Personal/Household,Bank,37,70689.0,11,2,0.853,0.632,1,247593.0,0.175,12.4,0,0
B100080,Transport,Digital Lender,18,17387.0,74,1,0.686,0.845,2,30749.0,0.088,51.8,0,0
B100081,Real Estate,Digital Lender,32,52540.0,100,3,0.795,0.595,2,316741.0,0.301,164.6,0,0
B100082,Personal/Household,Bank,42,23736.0,24,0,0.718,0.543,1,131491.0,0.277,9.7,0,0
B100083,Trade,SACCO,28,29434.0,87,0,0.82,0.778,3,188339.0,0.32,14.7,0,0
B100084,Trade,Digital Lender,24,19685.0,13,2,0.55,0.898,1,132940.0,0.338,17.1,0,0
B100085,Trade,Digital Lender,34,20387.0,5,5,0.757,0.833,2,55988.0,0.137,58.8,0,1
B100086,Personal/Household,SACCO,27,23393.0,1,3,0.906,0.983,1,122360.0,0.262,18.4,0,1
B100087,Real Estate,Bank,37,10452.0,5,0,0.622,0.361,2,71641.0,0.343,12.6,0,0
B100088,Trade,Bank,25,35978.0,1,3,0.804,0.683,2,82250.0,0.114,11.3,0,0
B100089,Manufacturing,SACCO,34,31672.0,19,3,0.817,0.683,3,221979.0,0.35,11.2,0,0
B100090,Trade,MFI,32,13046.0,15,2,0.625,0.624,2,111935.0,0.429,19.9,0,0
B100091,Personal/Household,Bank,35,42744.0,1,5,0.859,0.955,1,250901.0,0.293,13.5,0,0
B100092,Real Estate,Bank,51,66263.0,5,3,0.566,0.789,1,240927.0,0.182,15.1,0,0
B100093,Real Estate,Bank,37,20630.0,11,0,0.568,0.906,2,135120.0,0.327,13.8,0,0
B100094,Agriculture,MFI,40,19310.0,51,1,0.928,0.593,0,85504.0,0.221,28.8,0,0
B100095,Transport,Bank,29,54851.0,26,5,0.758,0.249,3,470666.0,0.429,11.5,0,0
B100096,Agriculture,Bank,37,37115.0,34,4,0.542,0.549,5,135010.0,0.182,13.5,1,0
B100097,Trade,Bank,32,27591.0,48,0,0.746,0.72,2,54370.0,0.099,13.6,0,0
B100098,Trade,Digital Lender,35,46537.0,16,1,0.638,0.596,2,177365.0,0.191,121.5,1,0
B100099,Services,SACCO,41,34571.0,26,1,0.817,0.62,3,294935.0,0.427,10.3,0,0
B100100,Services,Bank,30,65230.0,34,4,0.736,0.245,1,367952.0,0.282,10.8,0,0
B100101,Personal/Household,MFI,31,29460.0,15,2,0.595,0.614,0,133642.0,0.227,21.1,0,0
B100102,Agriculture,MFI,30,37592.0,1,2,0.828,0.663,3,272465.0,0.362,15.8,1,0
B100103,Services,SACCO,30,54390.0,100,2,0.84,0.604,2,280041.0,0.257,10.8,0,0
B100104,Personal/Household,SACCO,37,8000.0,14,2,0.685,0.73,3,32873.0,0.205,14.6,0,0
B100105,Personal/Household,SACCO,31,55483.0,13,0,0.656,0.826,5,120034.0,0.108,12.5,0,0
B100106,Real Estate,SACCO,50,22521.0,20,1,0.523,0.631,3,185684.0,0.412,15.1,0,1
B100107,Agriculture,Bank,62,39143.0,53,2,0.821,0.813,1,337706.0,0.431,14.0,0,1
B100108,Trade,Bank,29,74256.0,18,2,0.625,0.711,0,160758.0,0.108,12.8,0,0
B100109,Services,Bank,38,25128.0,19,2,0.567,0.621,1,50974.0,0.101,10.5,0,0
B100110,Real Estate,MFI,45,23143.0,19,3,0.898,0.741,2,54755.0,0.118,19.1,0,1
B100111,Trade,MFI,32,28851.0,109,1,0.927,0.436,2,255904.0,0.443,14.8,0,0
B100112,Agriculture,SACCO,25,13376.0,17,1,0.873,0.697,2,73604.0,0.275,13.2,0,0
B100113,Manufacturing,Bank,52,99660.0,23,1,0.663,0.809,1,731382.0,0.367,14.6,0,0
B100114,Trade,SACCO,42,29045.0,15,2,0.891,0.807,0,148242.0,0.255,13.0,0,0
B100115,Personal/Household,Bank,38,73503.0,40,0,0.693,0.484,2,373458.0,0.254,14.6,0,0
B100116,Personal/Household,Bank,50,24754.0,43,2,0.742,0.9,2,125134.0,0.253,16.6,0,0
B100117,Personal/Household,SACCO,43,30294.0,14,0,0.851,0.686,0,95707.0,0.158,10.0,0,0
B100118,Real Estate,Bank,35,49978.0,50,2,0.636,0.509,1,176071.0,0.176,16.7,0,0
B100119,Transport,Bank,25,16216.0,16,0,0.799,0.811,2,33891.0,0.104,14.3,0,0
B100120,Transport,Bank,30,28102.0,4,3,0.423,0.659,0,44002.0,0.078,19.4,1,1
B100121,Transport,SACCO,47,48959.0,9,0,0.926,0.695,0,223527.0,0.228,13.6,0,0
B100122,Trade,Bank,42,26445.0,23,4,0.507,0.473,0,223506.0,0.423,14.7,0,0
B100123,Real Estate,Digital Lender,33,22795.0,4,2,0.856,0.634,1,49055.0,0.108,227.3,0,1
B100124,Trade,Digital Lender,53,54906.0,48,4,0.753,0.482,2,96010.0,0.087,124.8,0,0
B100125,Manufacturing,Digital Lender,33,64255.0,25,3,0.744,0.767,1,418793.0,0.326,200.2,0,0
B100126,Agriculture,Bank,45,70128.0,7,2,0.81,0.356,3,494520.0,0.353,18.1,0,1
B100127,Trade,SACCO,37,20512.0,6,2,0.656,0.618,2,113766.0,0.277,11.6,0,0
B100128,Trade,Bank,54,21620.0,31,2,0.723,0.563,0,158268.0,0.366,16.4,0,0
B100129,Transport,Digital Lender,43,22940.0,27,2,0.613,0.921,2,88101.0,0.192,187.0,0,1
B100130,Trade,MFI,35,44143.0,44,2,0.888,0.638,0,182939.0,0.207,22.9,0,0
B100131,Services,Bank,33,15394.0,18,0,0.592,0.646,3,111883.0,0.363,13.5,0,1
B100132,Transport,Bank,35,15880.0,27,2,0.685,0.484,1,31731.0,0.1,11.1,0,0
B100133,Agriculture,Digital Lender,28,20073.0,9,2,0.497,0.881,1,79773.0,0.199,219.9,0,0
B100134,Transport,Digital Lender,21,17747.0,70,2,0.844,0.549,3,95444.0,0.269,193.0,0,1
B100135,Trade,MFI,38,48359.0,97,2,0.655,0.492,1,317338.0,0.328,21.0,0,0
B100136,Services,MFI,30,46599.0,8,4,0.876,0.788,1,139654.0,0.15,23.8,0,1
B100137,Manufacturing,Digital Lender,30,22813.0,63,7,0.91,0.568,2,80315.0,0.176,154.8,0,0
B100138,Personal/Household,Digital Lender,34,26725.0,0,8,0.614,0.466,2,208553.0,0.39,58.7,0,0
B100139,Trade,Digital Lender,36,8000.0,48,1,0.739,0.777,4,62511.0,0.391,110.8,0,0
B100140,Manufacturing,Bank,35,23119.0,65,3,0.675,0.744,1,135861.0,0.294,13.5,0,0
B100141,Manufacturing,SACCO,52,58934.0,17,2,0.793,0.871,1,489805.0,0.416,13.0,0,0
B100142,Services,Digital Lender,42,22438.0,30,2,0.858,0.827,1,76089.0,0.17,193.9,0,0
B100143,Manufacturing,Bank,56,16303.0,85,3,0.732,0.693,4,78840.0,0.242,18.7,0,0
B100144,Real Estate,Bank,31,63381.0,86,1,0.692,0.501,3,500724.0,0.395,17.6,0,0
B100145,Agriculture,Bank,43,16107.0,13,3,0.697,0.431,1,83540.0,0.259,15.8,0,0
B100146,Agriculture,MFI,31,69587.0,48,3,0.565,0.617,3,476642.0,0.342,17.8,1,0
B100147,Manufacturing,Digital Lender,29,145561.0,9,2,0.678,0.759,1,484060.0,0.166,217.1,0,0
B100148,Real Estate,Bank,56,27997.0,13,2,0.824,0.541,0,65886.0,0.118,15.8,0,0
B100149,Trade,MFI,27,58928.0,62,4,0.612,0.705,1,101201.0,0.086,15.1,0,0
B100150,Personal/Household,Bank,18,11874.0,8,2,0.832,0.598,4,47971.0,0.202,15.2,0,0
B100151,Services,Digital Lender,28,11590.0,6,3,0.526,0.411,1,93405.0,0.403,182.9,0,1
B100152,Trade,Digital Lender,18,19183.0,151,2,0.88,0.874,0,101196.0,0.264,122.4,0,0
B100153,Manufacturing,MFI,25,46739.0,132,3,0.881,0.554,2,229326.0,0.245,17.7,0,0
B100154,Trade,SACCO,26,29761.0,105,1,0.681,0.796,2,48592.0,0.082,15.1,0,0
B100155,Transport,Bank,35,26835.0,8,0,0.678,0.749,2,217063.0,0.404,17.4,0,0
B100156,Agriculture,Digital Lender,18,14618.0,37,0,0.726,0.759,1,27836.0,0.095,108.5,0,1
B100157,Transport,SACCO,47,27721.0,32,2,0.985,0.573,1,87195.0,0.157,12.0,0,1
B100158,Personal/Household,Bank,18,20869.0,6,2,0.917,0.565,2,122437.0,0.293,18.4,0,0
B100159,Personal/Household,Digital Lender,34,17901.0,45,3,0.802,0.95,1,143871.0,0.402,181.1,0,0
B100160,Trade,Bank,32,17085.0,6,1,0.663,0.745,3,125967.0,0.369,18.4,0,0
B100161,Services,SACCO,43,33043.0,17,1,0.884,0.855,3,139945.0,0.212,16.3,0,0
B100162,Agriculture,Bank,39,20007.0,94,0,0.485,0.58,1,47395.0,0.118,16.1,0,0
B100163,Trade,SACCO,47,29626.0,0,0,0.627,0.742,3,168691.0,0.285,19.1,0,0
B100164,Manufacturing,Bank,31,11238.0,6,2,0.838,0.919,3,17637.0,0.078,16.0,0,0
B100165,Agriculture,Bank,30,39212.0,3,2,0.783,0.612,0,126317.0,0.161,17.8,0,0
B100166,Personal/Household,MFI,39,33941.0,32,1,0.856,0.897,2,119344.0,0.176,22.2,0,0
B100167,Personal/Household,Digital Lender,45,26180.0,24,5,0.932,0.879,2,103806.0,0.198,103.7,1,0
B100168,Agriculture,Bank,43,32495.0,7,1,0.451,0.824,3,281323.0,0.433,17.9,0,0
B100169,Services,SACCO,38,49702.0,25,2,0.784,0.801,2,429579.0,0.432,15.3,0,0
B100170,Agriculture,MFI,37,13402.0,68,2,0.741,0.403,0,68479.0,0.255,24.9,0,0
B100171,Manufacturing,Digital Lender,35,30844.0,44,1,0.538,0.787,0,204130.0,0.331,93.2,1,0
B100172,Agriculture,Bank,39,14504.0,15,2,0.729,0.677,1,118677.0,0.409,15.1,1,0
B100173,Services,MFI,55,31200.0,14,0,0.694,0.826,2,144435.0,0.231,22.9,0,0
B100174,Trade,Digital Lender,33,25787.0,21,0,0.825,0.809,3,43426.0,0.084,183.1,0,1
B100175,Trade,Bank,31,29328.0,63,4,0.89,0.594,3,49444.0,0.084,13.3,0,0
B100176,Real Estate,MFI,31,47412.0,8,2,0.68,0.622,2,202733.0,0.214,25.5,0,0
B100177,Services,Digital Lender,39,46638.0,69,2,0.764,0.489,4,332769.0,0.357,154.0,0,0
B100178,Services,Bank,18,54051.0,23,1,0.917,0.566,0,201352.0,0.186,14.5,0,0
B100179,Personal/Household,Bank,34,23909.0,9,0,0.807,0.455,0,184435.0,0.386,13.1,0,0
B100180,Services,Bank,44,43772.0,6,1,0.5,0.928,3,224061.0,0.256,13.6,0,0
B100181,Services,Digital Lender,30,39287.0,6,2,0.938,0.873,0,313066.0,0.398,77.3,0,0
B100182,Manufacturing,Digital Lender,37,24242.0,16,2,0.833,0.77,1,55780.0,0.115,52.8,0,0
B100183,Agriculture,SACCO,56,31712.0,49,1,0.73,0.698,4,220082.0,0.347,15.4,0,0
B100184,Personal/Household,SACCO,38,27648.0,7,5,0.528,0.857,0,151733.0,0.274,11.0,0,1
B100185,Transport,Bank,18,64035.0,7,0,0.63,0.723,3,504051.0,0.394,12.5,0,0
B100186,Agriculture,Bank,21,46426.0,13,0,0.907,0.518,3,355183.0,0.383,14.1,0,0
B100187,Trade,Bank,32,24718.0,6,0,0.939,0.556,2,145166.0,0.294,14.4,0,0
B100188,Personal/Household,Bank,27,23790.0,36,1,0.732,0.557,5,55194.0,0.116,14.3,1,1
B100189,Agriculture,Bank,36,50347.0,27,1,0.512,0.755,1,277866.0,0.276,13.8,1,0
B100190,Services,SACCO,32,62130.0,2,1,0.923,0.862,1,125645.0,0.101,12.5,0,0
B100191,Agriculture,Bank,47,35367.0,7,1,0.88,0.822,4,191183.0,0.27,16.3,0,0
B100192,Trade,Bank,24,42711.0,13,1,0.757,0.668,3,72791.0,0.085,14.7,0,0
B100193,Personal/Household,Bank,33,60884.0,5,1,0.8,0.856,6,296158.0,0.243,14.7,0,0
B100194,Trade,Bank,37,27007.0,12,3,0.676,0.953,0,87699.0,0.162,15.1,0,0
B100195,Trade,Bank,38,31129.0,10,0,0.93,0.614,2,120141.0,0.193,15.6,0,0
B100196,Transport,Bank,36,38859.0,29,3,0.658,0.971,1,119626.0,0.154,13.4,0,0
B100197,Personal/Household,Bank,18,23483.0,16,3,0.798,0.92,3,128998.0,0.275,16.5,0,0
B100198,Trade,MFI,36,75696.0,8,2,0.905,0.439,0,254346.0,0.168,15.9,0,0
B100199,Agriculture,Digital Lender,33,23367.0,84,2,0.546,0.355,2,199731.0,0.427,243.5,0,0
B100200,Personal/Household,Digital Lender,44,30752.0,16,4,0.767,0.714,1,101579.0,0.165,256.7,0,0
B100201,Services,Digital Lender,42,85307.0,9,7,0.641,0.708,2,444954.0,0.261,53.4,0,1
B100202,Manufacturing,SACCO,37,10679.0,42,2,0.762,0.502,1,67272.0,0.315,11.2,0,0
B100203,Trade,Digital Lender,38,33482.0,13,1,0.906,0.843,2,160516.0,0.24,8.0,0,0
B100204,Trade,MFI,49,20675.0,116,3,0.557,0.35,3,157591.0,0.381,20.0,0,0
B100205,Agriculture,SACCO,47,29735.0,18,1,0.663,0.431,0,207839.0,0.349,12.0,0,0
B100206,Trade,MFI,38,15318.0,67,3,0.856,0.641,0,98392.0,0.321,18.4,0,0
B100207,Transport,Bank,56,24246.0,15,1,0.906,0.71,2,62466.0,0.129,13.8,0,1
B100208,Trade,Bank,29,30141.0,16,2,0.615,0.77,4,156446.0,0.26,12.1,0,0
B100209,Manufacturing,Bank,23,33897.0,57,1,0.796,0.543,1,83353.0,0.123,18.5,0,0
B100210,Personal/Household,Digital Lender,35,48660.0,63,3,0.652,0.32,1,234617.0,0.241,125.0,0,0
B100211,Transport,Bank,31,8282.0,15,3,0.676,0.754,3,28448.0,0.172,15.2,0,0
B100212,Trade,SACCO,18,27744.0,31,2,0.441,0.715,0,163861.0,0.295,14.2,0,0
B100213,Personal/Household,Digital Lender,28,27009.0,7,2,0.671,0.51,3,219244.0,0.406,197.9,0,0
B100214,Personal/Household,MFI,38,28700.0,85,1,0.849,0.622,3,227191.0,0.396,15.9,0,0
B100215,Personal/Household,Bank,34,30265.0,11,1,0.766,0.805,4,53099.0,0.088,17.6,0,0
B100216,Trade,MFI,27,18834.0,6,4,0.558,0.554,2,131452.0,0.349,20.1,0,0
B100217,Trade,Bank,35,12697.0,128,4,0.59,0.678,1,61969.0,0.244,14.2,0,1
B100218,Services,Digital Lender,36,33504.0,4,4,0.833,0.479,3,80305.0,0.12,197.1,0,0
B100219,Real Estate,SACCO,42,17209.0,3,1,0.93,0.757,2,108742.0,0.316,16.3,0,0
B100220,Agriculture,SACCO,29,37105.0,33,3,0.555,0.768,0,108772.0,0.147,8.6,0,1
B100221,Manufacturing,MFI,44,17757.0,5,2,0.883,0.684,2,85650.0,0.241,29.8,0,0
B100222,Transport,SACCO,24,43521.0,18,5,0.547,0.693,1,94378.0,0.108,13.6,0,0
B100223,Services,SACCO,30,28855.0,216,3,0.797,0.662,0,126314.0,0.219,15.5,0,0
B100224,Agriculture,Bank,52,29978.0,66,2,0.838,0.669,1,195539.0,0.326,17.8,0,0
B100225,Services,Bank,25,25965.0,15,2,0.892,0.81,4,56812.0,0.109,11.5,0,0
B100226,Trade,Bank,28,23773.0,5,2,0.888,0.774,1,161466.0,0.34,15.4,1,0
B100227,Manufacturing,MFI,22,26157.0,13,0,0.927,0.509,4,150870.0,0.288,19.9,0,0
B100228,Transport,Digital Lender,27,56949.0,2,3,0.554,0.92,0,213161.0,0.187,144.7,0,0
B100229,Trade,SACCO,36,12786.0,39,3,0.738,0.597,1,58416.0,0.228,11.0,0,0
B100230,Trade,MFI,42,20817.0,5,0,0.691,0.283,1,108617.0,0.261,13.8,0,0
B100231,Real Estate,Digital Lender,35,53165.0,14,1,0.552,0.477,1,232473.0,0.219,251.2,0,1
B100232,Services,Bank,32,46671.0,17,1,0.766,0.593,0,233879.0,0.251,13.6,0,0
B100233,Transport,Bank,23,62252.0,7,1,0.778,0.515,3,320873.0,0.258,14.2,0,0
B100234,Services,Digital Lender,28,28779.0,13,3,0.844,0.841,0,102907.0,0.179,128.5,0,0
B100235,Personal/Household,Digital Lender,20,14399.0,12,3,0.604,0.678,1,83287.0,0.289,45.8,0,0
B100236,Real Estate,SACCO,42,16166.0,1,1,0.756,0.591,1,71368.0,0.221,13.0,0,0
B100237,Personal/Household,Bank,43,25228.0,103,1,0.849,0.709,3,163648.0,0.324,18.5,0,0
B100238,Trade,Digital Lender,35,45179.0,22,1,0.798,0.737,2,293544.0,0.325,8.0,0,0
B100239,Trade,Digital Lender,39,25846.0,7,5,0.717,0.912,2,123523.0,0.239,207.7,0,1
B100240,Personal/Household,SACCO,44,24775.0,35,1,0.87,0.634,0,172186.0,0.347,11.3,0,0
B100241,Personal/Household,Bank,36,36987.0,13,2,0.7,0.765,0,192179.0,0.26,8.7,0,1
B100242,Agriculture,MFI,49,30189.0,28,1,0.684,0.696,1,146535.0,0.243,20.9,0,0
B100243,Manufacturing,Digital Lender,25,23334.0,110,2,0.878,0.641,3,190321.0,0.408,167.4,0,0
B100244,Transport,Digital Lender,32,17140.0,8,5,0.631,0.665,2,65992.0,0.192,102.5,0,1
B100245,Personal/Household,MFI,30,50052.0,6,0,0.496,0.751,2,162162.0,0.162,26.5,0,0
B100246,Transport,MFI,41,52907.0,81,1,0.947,0.521,0,80353.0,0.076,25.3,0,0
B100247,Real Estate,SACCO,21,16619.0,10,1,0.637,0.625,5,76034.0,0.229,13.0,0,0
B100248,Agriculture,MFI,49,23827.0,20,0,0.775,0.515,0,120333.0,0.253,15.7,0,0
B100249,Real Estate,MFI,41,42909.0,50,1,0.847,0.671,0,97675.0,0.114,20.8,0,0
B100250,Transport,Bank,53,15903.0,51,1,0.644,0.872,2,134086.0,0.422,17.1,0,0
B100251,Personal/Household,Bank,35,36346.0,61,1,0.611,0.442,3,189403.0,0.261,19.1,0,0
B100252,Real Estate,Digital Lender,29,24845.0,16,2,0.989,0.533,4,146282.0,0.294,104.4,0,1
B100253,Agriculture,Bank,42,15226.0,0,0,0.724,0.642,1,61552.0,0.202,12.9,0,0
B100254,Agriculture,Bank,45,79026.0,50,0,0.738,0.864,2,363967.0,0.23,9.8,0,1
B100255,Personal/Household,Digital Lender,28,24642.0,20,3,0.584,0.712,1,130971.0,0.266,148.3,1,0
B100256,Personal/Household,SACCO,18,39671.0,63,0,0.781,0.648,1,306462.0,0.386,10.9,0,0
B100257,Trade,Bank,18,16048.0,9,2,0.861,0.664,1,131452.0,0.41,15.1,0,0
B100258,Trade,Bank,38,69828.0,25,3,0.693,0.585,2,367893.0,0.263,12.4,0,0
B100259,Transport,Digital Lender,50,86774.0,2,3,0.772,0.554,0,243930.0,0.141,188.8,0,1
B100260,Trade,MFI,22,13014.0,28,3,0.792,0.51,4,70578.0,0.271,15.6,0,0
B100261,Personal/Household,MFI,32,27160.0,12,1,0.429,0.549,4,194827.0,0.359,19.7,0,0
B100262,Agriculture,MFI,32,61718.0,18,3,0.968,0.482,1,315725.0,0.256,27.6,0,0
B100263,Trade,Bank,54,22980.0,8,1,0.89,0.809,3,163577.0,0.356,14.2,0,0
